"time","U","I","M_mot","wB"
0,-48,0,-0,-0
0.0001,-48,4.7760949591183115,-0.14328284877354933,-0.049998749258138769
0.0002,-48,9.5047302979396004,-0.28514190893818803,-0.092831034940566493
0.0003,-48,14.186362678309333,-0.42559088034928,-0.1285684032978133
0.0004,-48,18.821452354220764,-0.56464357062662285,-0.15728171170465419
0.0005,-48,23.410441042382168,-0.70231323127146505,-0.17904112364074279
0.0006,-48,27.953879707478553,-0.83861639122435661,-0.19391613651575823
0.0007,-48,32.452109454731797,-0.97356328364195388,-0.20197541786927672
0.0008,-48,36.905560434950424,-1.1071668130485126,-0.20328712081964148
0.0009,-48,41.314659849422021,-1.2394397954826606,-0.19791875153533323
0.001,-48,45.679829872177194,-1.3703948961653158,-0.1859371677927335
0.0011,-48,50.001488639416522,-1.5000446591824956,-0.16740859199616617
0.0012,-48,54.280050293893098,-1.6284015088167929,-0.14239861671896048
0.0013,-48,58.515925027223538,-1.7554777508167061,-0.11097221004609255
0.0014,-48,62.709519120702872,-1.8812855736210861,-0.073193721537299736
0.0015,-48,66.861234984979944,-2.0058370495493985,-0.02912688812215327
0.0016,-48,70.971471126119255,-2.1291441337835777,0.021165160052282174
0.0017,-48,75.040620663464239,-2.251218619903927,0.077619894736988992
0.0018,-48,79.069074903428032,-2.372072247102841,0.14017537753105513
0.0019,-48,83.057221399495845,-2.4917166419848753,0.208770263033839
0.002,-48,87.005443992959528,-2.6101633197887857,0.28334378925119846
0.0021,-48,90.914122852383812,-2.7274236855715142,0.36383577298247061
0.0022,-48,94.783634511995288,-2.8435090353598587,0.45018660428321405
0.0023,-48,98.614351909150344,-2.95843055727451,0.5423372409696533
0.0024,-48,102.40664442100142,-3.0721993326300425,0.64022920322333254
0.0025,-48,106.16087790045162,-3.1848263370135488,0.74380456753465229
0.0026,-48,109.87741270953651,-3.2963223812860951,0.85300596188899325
0.0027,-48,113.55660741808771,-3.406698222542631,0.96777655829007536
0.0028,-48,117.19881790881706,-3.5159645372645119,1.0880600694053781
0.0029,-48,120.8043966500922,-3.6241318995027658,1.2138007445401342
0.003,-48,124.37369273148313,-3.731210781944494,1.3449433644705391
0.0031,-48,127.90705189861386,-3.8372115569584158,1.4814332363494409
0.0032,-48,131.4048165873732,-3.9421444976211961,1.6232161886644418
0.0033,-48,134.86732595753728,-4.0460197787261185,1.7702385662321927
0.0034,-48,138.2949159258439,-4.148847477775317,1.9224472252603508
0.0035,-48,141.68791919855414,-4.2506375759566239,2.0797895285010202
0.0036,-48,145.04666530352958,-4.3513999591058869,2.2422133403803097
0.0037,-48,148.37148062185491,-4.4511444186556473,2.4096670222058481
0.0038,-48,151.66268841902547,-4.5498806525707636,2.58209942742198
0.0039,-48,154.92060887572043,-4.6476182662716132,2.759459896911939
0.004,-48,158.14555911817968,-4.7443667735453898,2.9416982543464534
0.0041,-48,161.33785324819812,-4.8401355974459435,3.1287648015780971
0.0042,-48,164.49780237275289,-4.9349340711825862,3.3206103140809136
0.0043,-48,167.62571463327427,-5.0287714389982279,3.517186036423666
0.0044,-48,170.72189523457234,-5.1216568570371699,3.7184436777318171
0.0045,-48,173.78664647342956,-5.2135993942028866,3.9243354074256969
0.0046,-48,176.82026555814048,-5.3046079667442143,4.1348138507471575
0.0047,-48,179.8230451639557,-5.3946913549186704,4.3498320811042586
0.0048,-48,182.79527947384253,-5.4838583842152753,4.5693436132495293
0.0049,-48,185.73725985592981,-5.5721177956778938,4.7933024055194657
