"time","U","I","M_mot","wB"
0,-48,0,-0,-0
0.0002,-48,9.5047302979396004,-0.28514190893818803,-0.092831034940566493
0.0004,-48,18.821452354220764,-0.56464357062662285,-0.15728171170465419
0.0006,-48,27.953879707478553,-0.83861639122435661,-0.19391613651575823
0.0008,-48,36.905560434950424,-1.1071668130485126,-0.20328712081964148
0.001,-48,45.679829872177194,-1.3703948961653158,-0.1859371677927335
0.0012,-48,54.280050293893098,-1.6284015088167929,-0.14239861671896048
0.0014,-48,62.709519120702872,-1.8812855736210861,-0.073193721537299736
0.0016,-48,70.971471126119255,-2.1291441337835777,0.021165160052282174
0.0018,-48,79.069074903428032,-2.372072247102841,0.14017537753105513
0.002,-48,87.005443992959528,-2.6101633197887857,0.28334378925119846
0.0022,-48,94.783634511995288,-2.8435090353598587,0.45018660428321405
0.0024,-48,102.40664442100142,-3.0721993326300425,0.64022920322333254
0.0026,-48,109.87741270953651,-3.2963223812860951,0.85300596188899325
0.0028,-48,117.19881790881706,-3.5159645372645119,1.0880600694053781
0.003,-48,124.37369273148313,-3.731210781944494,1.3449433644705391
0.0032,-48,131.4048165873732,-3.9421444976211961,1.6232161886644418
0.0034,-48,138.2949159258439,-4.148847477775317,1.9224472252603508
0.0036,-48,145.04666530352958,-4.3513999591058869,2.2422133403803097
0.0038,-48,151.66268841902547,-4.5498806525707636,2.58209942742198
0.004,-48,158.14555911817968,-4.7443667735453898,2.9416982543464534
0.0042,-48,164.49780237275289,-4.9349340711825862,3.3206103140809136
0.0044,-48,170.72189523457234,-5.1216568570371699,3.7184436777318171
0.0046,-48,176.82026555814048,-5.3046079667442143,4.1348138507471575
0.0048,-48,182.79527947384253,-5.4838583842152753,4.5693436132495293
0.005,-48,188.64927489136053,-5.6594782467408162,5.0216628555902245
0.0052,-48,194.38454947663965,-5.831536484299189,5.491408491364834
0.0054,-48,200.00335717639402,-6.0001007152918202,5.9782243301214653
0.0056,-48,205.50790907269138,-6.1652372721807414,6.4817610042588267
0.0058,-48,210.90037421794543,-6.3270112265383629,7.0016756738816275
0.006,-48,216.18288045174765,-6.4854864135524295,7.5376320600305036
0.0062,-48,221.35751519913362,-6.6407254559740085,8.0893002700803649
0.0064,-48,226.42632625186258,-6.7927897875558774,8.656356676268711
