"time","M","wB"
0,-1,-0
0.01,-1,4.9875207901531109
0.02,-1,9.9501662013400924
0.03,-1,14.888060396705283
0.04,-1,19.801326914056862
0.05,-1,24.69008853492096
0.06,-1,29.554467521660271
0.07,-1,34.394586060244357
0.08,-1,39.210564298489615
0.09,-1,44.002524200760895
0.1,-1,48.770583181770746
0.11,-1,53.514862347518637
0.12,-1,58.235478414950194
0.13,-1,62.932549683263581
0.14,-1,67.606193756151725
0.15,-1,72.256527308984815
0.16,-1,76.883666890819043
0.17,-1,81.487728093123053
0.18,-1,86.068824424328312
0.19,-1,90.627070856805815
0.2,-1,95.162581785673069
0.21,-1,99.675471738716936
0.22,-1,104.16585557566751
0.23,-1,108.63383705099734
0.24,-1,113.07952806107235
0.25,-1,117.50304393091717
0.26,-1,121.90449745543995
0.27,-1,126.28400207571177
0.28,-1,130.64167013032741
0.29,-1,134.97758832752859
0.3,-1,139.29188021046824
0.31,-1,143.58465565841735
0.32,-1,147.85602476027555
0.33,-1,152.10609791105134
0.34,-1,156.33497606791241
0.35,-1,160.5427557630847
0.36,-1,164.72955103737772
0.37,-1,168.89546712699166
0.38,-1,173.04060879009145
0.39,-1,177.16508031100554
0.4,-1,181.2689819441857
0.41,-1,185.35241676656526
0.42,-1,189.4154870817251
0.43,-1,193.45829394194195
0.44,-1,197.48093771675673
0.45,-1,201.48351862312614
0.46,-1,205.46613917822617
0.47,-1,209.42889679388682
0.48,-1,213.37189009377258
0.49,-1,217.29521715393267
0.5,-1,221.19897550523359
0.51,-1,225.08326343506664
0.52,-1,228.94817867541326
0.53,-1,232.79381702954376
0.54,-1,236.62027467311211
0.55,-1,240.42764738574897
0.56,-1,244.2160305634136
0.57,-1,247.98551651999247
0.58,-1,251.73620058905578
0.59,-1,255.46817689547163
0.6,-1,259.18153897374907
0.61,-1,262.87638001401336
0.62,-1,266.55279287738483
0.63,-1,270.21087011135739
0.64,-1,273.85070396517767
0.65,-1,277.47238640522312
0.66,-1,281.07599772353848
0.67,-1,284.66163487215852
0.68,-1,288.2293880202231
0.69,-1,291.77934673032951
0.7,-1,295.31160021358221
0.71,-1,298.82623733983587
0.72,-1,302.32334664793797
0.73,-1,305.80301635597169
0.74,-1,309.26533392741794
0.75,-1,312.710376627855
0.76,-1,316.13823734816913
0.77,-1,319.54900195533213
0.78,-1,322.94275590968346
0.79,-1,326.31958426849769
0.8,-1,329.67957168955195
0.81,-1,333.02280243469278
0.82,-1,336.34936037340373
0.83,-1,339.65932856188738
0.84,-1,342.95278664254437
0.85,-1,346.22981924717322
0.86,-1,349.49050827490754
0.87,-1,352.7349351990087
0.88,-1,355.96318106786276
0.89,-1,359.1753265059769
0.9,-1,362.37145171497622
0.91,-1,365.55163647460023
0.92,-1,368.71596161943
0.93,-1,371.86451180847769
0.94,-1,374.99736081691429
0.95,-1,378.11458690906761
0.96,-1,381.21626791473898
0.97,-1,384.3024812292029
0.98,-1,387.37330381320737
0.99,-1,390.42881219297379
1,-1,393.46908246019677
1.01,-1,396.49419027204431
1.02,-1,399.50421085115778
1.03,-1,402.49921898565191
1.04,-1,405.47928902911485
1.05,-1,408.44449490060794
1.06,-1,411.39491008466598
1.07,-1,414.3306076312972
1.08,-1,417.25166015598296
1.09,-1,420.1581398396782
1.1,-1,423.05012604428441
1.11,-1,425.92772084228494
1.12,-1,428.79096607135727
1.13,-1,431.6399329859205
1.14,-1,434.47469243039325
1.15,-1,437.29531483919328
1.16,-1,440.10187023673774
1.17,-1,442.89442823744304
1.18,-1,445.6730580457251
1.19,-1,448.4378284559989
1.2,-1,451.18880785267885
1.21,-1,453.92606421017865
1.22,-1,456.64966509291128
1.23,-1,459.35967765528909
1.24,-1,462.05616864172379
1.25,-1,464.73920438662623
1.26,-1,467.40885081440678
1.27,-1,470.0651734394749
1.28,-1,472.70824857806923
1.29,-1,475.33819226950698
1.3,-1,477.95502082683737
1.31,-1,480.55879939297409
1.32,-1,483.1495927450373
1.33,-1,485.72746529435318
1.34,-1,488.29248108645425
1.35,-1,490.84470380107922
1.36,-1,493.38419675217307
1.37,-1,495.91102288788699
1.38,-1,498.42524479057835
1.39,-1,500.92692467681076
1.4,-1,503.41612439735411
1.41,-1,505.89290543718448
1.42,-1,508.35732891548412
1.43,-1,510.80945558564173
1.44,-1,513.24934583525203
1.45,-1,515.67705968611585
1.46,-1,518.09266456169189
1.47,-1,520.49626059689137
1.48,-1,522.88786927001013
1.49,-1,525.26755011159128
1.5,-1,527.63536232027388
1.51,-1,529.99136476279364
1.52,-1,532.33561597398227
1.53,-1,534.66817415676758
1.54,-1,536.98909718217374
1.55,-1,539.2984425893211
1.56,-1,541.59626758542618
1.57,-1,543.88262904580188
1.58,-1,546.15758351385705
1.59,-1,548.42118720109693
1.6,-1,550.67349598712303
1.61,-1,552.91456541963282
1.62,-1,555.14445071442026
1.63,-1,557.36320675537524
1.64,-1,559.57089463784507
1.65,-1,561.76760847179048
1.66,-1,563.95336622190655
1.67,-1,566.12822236001193
1.68,-1,568.29223105796382
1.69,-1,570.44544618765815
1.7,-1,572.58792132102906
1.71,-1,574.71970973004954
1.72,-1,576.8408643867308
1.73,-1,578.95143796312266
1.74,-1,581.05148283131348
1.75,-1,583.14105106343027
1.76,-1,585.22019443163811
1.77,-1,587.28896440814128
1.78,-1,589.34741216518182
1.79,-1,591.39558857504096
1.8,-1,593.43354421003801
1.81,-1,595.46132934253092
1.82,-1,597.47899856890672
1.83,-1,599.48663465126378
1.84,-1,601.48425766176979
1.85,-1,603.4719174064561
1.86,-1,605.44966341699887
1.87,-1,607.41754495071882
1.88,-1,609.37561099058121
1.89,-1,611.3239102451962
1.9,-1,613.2624911488183
1.91,-1,615.19140186134678
1.92,-1,617.11069026832558
1.93,-1,619.02040398094312
1.94,-1,620.92059033603266
1.95,-1,622.81129639607207
1.96,-1,624.69256894918362
1.97,-1,626.56445450913441
1.98,-1,628.42699931533616
1.99,-1,630.28024933284519
2,-1,632.12425381582216
2.01,-1,633.95908861169733
2.02,-1,635.7847723441015
2.03,-1,637.60135053301735
2.04,-1,639.40886844685804
2.05,-1,641.20737110246648
2.06,-1,642.99690326511575
2.07,-1,644.77750944850902
2.08,-1,646.54923391477917
2.09,-1,648.31212067448962
2.1,-1,650.0662134866335
2.11,-1,651.81155585863394
2.12,-1,653.5481910463443
2.13,-1,655.27616205404797
2.14,-1,656.99551163445813
2.15,-1,658.70628228871828
2.16,-1,660.40851626640188
2.17,-1,662.10225556551222
2.18,-1,663.78754613844876
2.19,-1,665.46447304668141
2.2,-1,667.13303957987318
2.21,-1,668.79328747708917
2.22,-1,670.44525823961521
2.23,-1,672.08899313019867
2.24,-1,673.72453317228735
2.25,-1,675.35191914927054
2.26,-1,676.97119160371824
2.27,-1,678.58239083662193
2.28,-1,680.18555690663379
2.29,-1,681.78072962930776
2.3,-1,683.36794857633822
2.31,-1,684.94725307480144
2.32,-1,686.51868220639437
2.33,-1,688.08227480667563
2.34,-1,689.63806946430498
2.35,-1,691.18610452028327
2.36,-1,692.72641806719321
2.37,-1,694.25904794843814
2.38,-1,695.7840317574836
2.39,-1,697.3014068370959
2.4,-1,698.8112102785833
2.41,-1,700.31347892103497
2.42,-1,701.80824935056216
2.43,-1,703.29555789953713
2.44,-1,704.77544064583412
2.45,-1,706.24793341206851
2.46,-1,707.71307176483788
2.47,-1,709.17089101396073
2.48,-1,710.62142621171768
2.49,-1,712.06474407179223
2.5,-1,713.500971336872
2.51,-1,714.9300398481505
2.52,-1,716.35198509675297
2.53,-1,717.76684236107485
2.54,-1,719.17464670649781
2.55,-1,720.5754329851062
2.56,-1,721.96923583540445
2.57,-1,723.35608968203258
