"time","U","I","M_mot","wB"
0,-48,0,-0,-0
0.0001,-48,4.6820092907781712,-0.14046027872334513,-0.049998749258138769
0.0002,-48,9.1358785000480314,-0.27407635500144095,-0.092972159914826019
0.0003,-48,13.372572932907437,-0.40117718798722307,-0.12926278508081884
0.0004,-48,17.402631644568341,-0.52207894933705024,-0.15919671286911835
0.0005,-48,21.236197217589719,-0.63708591652769153,-0.18308420691102195
0.0006,-48,24.882844099877847,-0.74648532299633541,-0.20122030183019607
0.0007,-48,28.351667580693512,-0.85055002742080532,-0.21388565620531252
0.0008,-48,31.651308588528249,-0.94953925765584746,-0.2213472719934711
0.0009,-48,34.790023695420224,-1.0437007108626066,-0.22385917745094139
0.001,-48,37.775669562734066,-1.133270086882022,-0.22166300548627868
0.0011,-48,40.61558797839637,-1.218467639351891,-0.21498858671347051
0.0012,-48,43.316943856580572,-1.2995083156974172,-0.20405473160103946
0.0013,-48,45.886474513951484,-1.3765942354185445,-0.18906949088179187
0.0014,-48,48.330693929113252,-1.4499208178733975,-0.17023079998647317
0.0015,-48,50.655564384969196,-1.5196669315490758,-0.14772681373957761
0.0016,-48,52.866915770952424,-1.5860074731285727,-0.12173673434030396
0.0017,-48,54.970285262283994,-1.6491085578685198,-0.092431010409443085
0.0018,-48,56.971127469300221,-1.7091338240790066,-0.059971776487224911
0.0019,-48,58.874279498950735,-1.7662283849685221,-0.024512977293208643
0.002,-48,60.684499191426745,-1.8205349757428022,0.013798705632297174
0.0021,-48,62.406310239991782,-1.8721893071997533,0.054823735911273312
0.0022,-48,64.044016249400087,-1.9213204874820025,0.098429365785509884
0.0023,-48,65.601711429832534,-1.968051342894976,0.14448931311307403
0.0024,-48,67.083290773228157,-2.0124987231968445,0.19288344198740978
0.0025,-48,68.492459736622763,-2.0547737920986826,0.24349746485362198
0.0026,-48,69.832743456076045,-2.0949823036822814,0.2962226579083268
0.0027,-48,71.107495513635499,-2.1332248654090651,0.35095559036831192
0.0028,-48,72.319906278793383,-2.1695971883638014,0.40759786687285898
0.0029,-48,73.473010844932446,-2.2041903253479731,0.46605588241903734
0.003,-48,74.56969658023759,-2.2370908974071275,0.5262405892147054
0.0031,-48,75.612710311649721,-2.2683813093494916,0.58806727486323773
0.0032,-48,76.604669347883288,-2.2981400804364984,0.65145535094816265
0.0033,-48,77.548060671047111,-2.3264418201314134,0.71632815839076924
0.0034,-48,78.445249032309832,-2.353357470969295,0.78261277314291688
0.0035,-48,79.298484054174153,-2.3789545216252246,0.85023982184616165
0.0036,-48,80.109905835140054,-2.4032971750542016,0.91914330895741592
0.0037,-48,80.88155028157027,-2.4264465084471079,0.98926045228717208
0.0038,-48,81.615354180028916,-2.4484606254008674,1.0605315265625006
0.0039,-48,82.313160022733967,-2.4693948006820188,1.1328997146207251
0.004,-48,82.976720598105928,-2.4893016179431777,1.2063109658078439
0.0041,-48,83.60770335787727,-2.5082311007363178,1.2807138612880533
0.0042,-48,84.207694571599376,-2.5262308371479811,1.3560594859104509
0.0043,-48,84.778203278924465,-2.5433460983677341,1.4323013063137378
