"time","U","I","M_mot","wB"
0,-48,0,-0,-0
0.0002,-48,9.410726358686988,-0.28232179076060965,-0.092866654925537112
0.0004,-48,18.452680442182498,-0.55358041326547491,-0.15777248987120776
0.0006,-48,27.140094526395114,-0.81420283579185337,-0.19581589419701739
0.0008,-48,35.486819755623948,-1.0646045926687184,-0.20805258838647447
0.001,-48,43.506253156309839,-1.305187594689295,-0.19549717489624033
0.0012,-48,51.211131194645887,-1.5363339358393766,-0.15912403448405732
0.0014,-48,58.613485252113769,-1.7584045575634131,-0.099870187141455638
0.0016,-48,65.725068901927912,-1.9717520670578372,-0.018636544606018175
0.0018,-48,72.557163278193912,-2.1767148983458173,0.083710975289017664
0.002,-48,79.120609726348292,-2.3736182917904487,0.20634004483229773
0.0022,-48,85.425829422681147,-2.5627748826804342,0.34845062695484175
0.0024,-48,91.482839588959905,-2.744485187668797,0.50927371967878343
0.0026,-48,97.301269058820878,-2.9190380717646263,0.68807015423489104
0.0028,-48,102.89037172050422,-3.0867111516151264,0.88412943189471638
0.003,-48,108.25904484316146,-3.2477713452948436,1.0967686171147157
0.0032,-48,113.41584117439068,-3.4024752352317202,1.3253312734678362
0.0034,-48,118.36898158425163,-3.5510694475275488,1.569186435677713
0.0036,-48,123.12637224220595,-3.6937911672661783,1.8277276214992308
0.0038,-48,127.69561785092107,-3.8308685355276317,2.1003719035241484
0.004,-48,132.08401682843936,-3.9625205048531806,2.3865589942688801
0.0042,-48,136.29858280174562,-4.0889574840523686,2.685750335250737
0.0044,-48,140.34606241169814,-4.2103818723509443,2.9974282618662298
0.0046,-48,144.23294029269667,-4.3269882087809002,3.3210952016306323
0.0048,-48,147.96544927391483,-4.4389634782174445,3.6562728941873077
0.005,-48,151.54958017932722,-4.5464874053798168,4.0025016412199994
0.0052,-48,154.99109124335999,-4.6497327373007993,4.3593395857511474
0.0054,-48,158.29551715754533,-4.7488655147263596,4.7263620404609661
0.0056,-48,161.46817776299173,-4.8440453328897517,5.1031607842961639
0.0058,-48,164.51418640353177,-4.9354255921059531,5.489343415837622
0.006,-48,167.43845795223328,-5.0231537385669984,5.8845327814475201
0.0062,-48,170.24571652465667,-5.1073714957396996,6.2883663644581898
0.0064,-48,172.94049453259365,-5.1882148359778091,6.7004957140762222
0.0066,-48,175.52714758844868,-5.26581442765346,7.1205858696901396
0.0068,-48,178.00987420324097,-5.3402962260972284,7.5483148556400179
0.007,-48,180.39270975680174,-5.4117812927040516,7.9833731997952668
