"time","U","I","M_mot","wB"
0,-48,0,-0,-0
0.0001,-48,4.7523477087835291,-0.14257043126350585,-0.049998749258138769
0.0002,-48,9.410726358686988,-0.28232179076060965,-0.092866654925537112
0.0003,-48,13.976913168750603,-0.41930739506251807,-0.12874502388553946
0.0004,-48,18.452680442182498,-0.55358041326547491,-0.15777248987120776
0.0005,-48,22.839818635617384,-0.68519455906852145,-0.18008502130671133
0.0006,-48,27.140094526395114,-0.81420283579185337,-0.19581589419701739
0.0007,-48,31.35520624732175,-0.9406561874196524,-0.20509572781512955
0.0008,-48,35.486819755623948,-1.0646045926687184,-0.20805258838647447
0.0009,-48,39.536572293810806,-1.1860971688143243,-0.20481203863237499
0.001,-48,43.506253156309839,-1.305187594689295,-0.19549717489624033
0.0011,-48,47.397259515162759,-1.4219177854548828,-0.18022840468393103
0.0012,-48,51.211131194645887,-1.5363339358393766,-0.15912403448405732
0.0013,-48,54.949378011050875,-1.6484813403315262,-0.13230005516925569
0.0014,-48,58.613485252113769,-1.7584045575634131,-0.099870187141455638
0.0015,-48,62.204907689056668,-1.8661472306717,-0.061945917235937197
0.0016,-48,65.725068901927912,-1.9717520670578372,-0.018636544606018175
0.0017,-48,69.175364623264741,-2.0752609386979421,0.029950773413341979
0.0018,-48,72.557163278193912,-2.1767148983458173,0.083710975289017664
0.0019,-48,75.871806515042081,-2.2761541954512623,0.14254106044045189
0.002,-48,79.120609726348292,-2.3736182917904487,0.20634004483229773
0.0021,-48,82.304862560307939,-2.4691458768092382,0.27500892252383657
0.0022,-48,85.425829422681147,-2.5627748826804342,0.34845062695484175
0.0023,-48,88.484749969254096,-2.654542499077623,0.42656999298647391
0.0024,-48,91.482839588959905,-2.744485187668797,0.50927371967878343
0.0025,-48,94.421289877783991,-2.8326386963335195,0.59647033379330439
0.0026,-48,97.301269058820878,-2.9190380717646263,0.68807015423489104
0.0027,-48,100.1239219560179,-3.0037176586805368,0.78398525453233914
0.0028,-48,102.89037172050422,-3.0867111516151264,0.88412943189471638
0.0029,-48,105.60171949445186,-3.1680515848335555,0.9884181721694385
0.003,-48,108.25904484316146,-3.2477713452948436,1.0967686171147157
0.0031,-48,110.86340617857391,-3.3259021853572173,1.2090995319343658
0.0032,-48,113.41584117439068,-3.4024752352317202,1.3253312734678362
0.0033,-48,115.91736717298194,-3.477521015189458,1.4453857590043082
